id,period,status,city_client,department_client,status_str,department_code,country_client
1,2022-03-16 19:56:42,0,Soracá,Boyacá,inactive,15,Colombia
2,2022-04-30 19:14:36,1,Puerto Libertador,Córdoba,active,23,Colombia
3,2023-05-20 21:17:44,0,Iles,Nariño,inactive,52,Colombia
4,2023-05-05 04:50:31,0,Solita,Caquetá,inactive,18,Colombia
5,2022-02-14 05:17:56,1,San Andrés,"San Andrés, Providencia y Santa Catalina",active,88,Colombia
6,2023-09-26 13:49:01,0,Filandia,Quindío,inactive,63,Colombia
7,2022-02-17 23:12:15,1,Encino,Santander,active,68,Colombia
8,2023-06-29 11:10:01,0,Sogamoso,Boyacá,inactive,15,Colombia
9,2023-09-12 01:26:08,1,Gamarra,Cesar,active,20,Colombia
10,2024-01-23 00:48:24,0,Íquira,Huila,inactive,41,Colombia
11,2023-07-08 16:50:49,1,Páez,Boyacá,active,15,Colombia
12,2023-07-30 16:53:08,1,Yalí,Antioquia,active,5,Colombia
13,2023-08-27 11:33:30,1,Guavatá,Santander,active,68,Colombia
14,2024-01-15 18:51:46,1,Granada,Antioquia,active,5,Colombia
15,2022-08-15 18:50:10,0,Jordán,Santander,inactive,68,Colombia
16,2022-04-27 21:10:34,0,Apartadó,Antioquia,inactive,5,Colombia
17,2022-12-01 19:30:44,1,Yacuanquer,Nariño,active,52,Colombia
18,2022-11-26 21:32:34,1,El Tambo,Nariño,active,52,Colombia
19,2023-04-28 01:16:02,1,Olaya Herrera,Nariño,active,52,Colombia
20,2023-11-05 06:47:41,0,Granada,Antioquia,inactive,5,Colombia
21,2022-10-18 06:59:53,0,Pisba,Boyacá,inactive,15,Colombia
22,2022-04-12 12:15:23,0,Marsella,Risaralda,inactive,66,Colombia
23,2023-06-08 01:16:16,0,San Sebastián de Buenavista,Magdalena,inactive,47,Colombia
24,2022-09-26 11:52:23,1,El Peñol,Nariño,active,52,Colombia
25,2022-05-12 17:18:13,1,San Luis de Palenque,Casanare,active,85,Colombia
26,2023-07-21 05:27:08,0,Ciénega,Boyacá,inactive,15,Colombia
27,2023-02-22 19:00:56,0,San Antonio del Tequendama,Cundinamarca,inactive,25,Colombia
28,2022-03-11 09:48:47,1,Salamina,Magdalena,active,47,Colombia
29,2022-09-17 16:53:20,0,Candelaria,Valle del Cauca,inactive,76,Colombia
30,2022-06-28 17:28:15,0,Une,Cundinamarca,inactive,25,Colombia
31,2022-10-02 10:52:16,1,Fómeque,Cundinamarca,active,25,Colombia
32,2022-09-19 11:27:33,0,Pedraza,Magdalena,inactive,47,Colombia
33,2022-08-18 06:28:24,1,San Luis de Palenque,Casanare,active,85,Colombia
34,2022-02-07 23:16:12,1,Recetor,Casanare,active,85,Colombia
35,2023-03-13 21:30:09,0,La Florida,Nariño,inactive,52,Colombia
36,2024-01-14 19:10:46,0,Cicuco,Bolívar,inactive,13,Colombia
37,2023-12-20 19:20:50,1,Garagoa,Boyacá,active,15,Colombia
38,2023-12-24 16:35:58,1,Barranco de Loba,Bolívar,active,13,Colombia
39,2023-06-22 14:45:24,1,San Pedro de los Milagros,Antioquia,active,5,Colombia
40,2022-04-10 02:19:57,1,Subachoque,Cundinamarca,active,25,Colombia
41,2023-05-07 10:22:23,0,San Luis,Antioquia,inactive,5,Colombia
42,2022-05-07 01:46:34,1,Tasco,Boyacá,active,15,Colombia
43,2022-01-14 10:54:40,0,San Bernardo,Cundinamarca,inactive,25,Colombia
44,2022-10-26 02:59:10,0,Íquira,Huila,inactive,41,Colombia
45,2023-05-16 10:47:06,1,El Cairo,Valle del Cauca,active,76,Colombia
46,2023-09-29 00:48:08,1,La Gloria,Cesar,active,20,Colombia
47,2023-02-21 21:08:36,1,Margarita,Bolívar,active,13,Colombia
48,2023-02-01 04:58:32,1,Guayabal de Síquima,Cundinamarca,active,25,Colombia
49,2023-12-10 15:50:54,1,Puerto Asís,Putumayo,active,86,Colombia
50,2022-12-26 19:56:26,1,Jenesano,Boyacá,active,15,Colombia
51,2023-05-31 19:25:08,0,Chaparral,Tolima,inactive,73,Colombia
52,2023-05-10 08:06:28,1,San Agustín,Huila,active,41,Colombia
53,2023-07-28 08:56:03,1,Cereté,Córdoba,active,23,Colombia
54,2022-02-03 06:13:54,0,Río Quito,Chocó,inactive,27,Colombia
55,2022-07-14 14:52:15,1,Ituango,Antioquia,active,5,Colombia
56,2023-01-21 10:45:12,0,Buenavista,Sucre,inactive,70,Colombia
57,2023-10-01 01:59:34,0,San Andrés,Santander,inactive,68,Colombia
58,2024-01-06 07:53:19,1,Villagarzón,Putumayo,active,86,Colombia
59,2022-03-04 19:04:41,0,Colombia,Huila,inactive,41,Colombia
60,2023-10-27 23:34:39,1,Pivijay,Magdalena,active,47,Colombia
61,2022-06-18 19:56:25,0,Albania,Santander,inactive,68,Colombia
62,2022-12-23 06:50:53,1,Colón,Putumayo,active,86,Colombia
63,2022-08-05 14:43:32,1,Venadillo,Tolima,active,73,Colombia
64,2023-03-21 00:36:22,1,Sutatenza,Boyacá,active,15,Colombia
65,2022-11-09 21:10:01,0,Anzoátegui,Tolima,inactive,73,Colombia
66,2022-10-16 22:37:33,0,Mallama,Nariño,inactive,52,Colombia
